,Highest_1,Lowest_1,Median_1,Mean_(rounded)_1,most_uncommon_1,Highest_2,Lowest_2,Median_2,Mean_(rounded)_2,most_common_2
52,2,5,1,9,4,1,4,4,8,1
53,0,1,8,8,2,0,6,4,9,2
54,0,1,6,8,9,1,2,4,9,7
55,1,2,7,8,0,1,9,4,9,4
56,2,6,9,9,6,0,4,3,8,2
57,4,1,8,9,7,1,3,4,9,0
58,2,5,2,9,7,1,2,2,9,2
59,2,9,6,9,7,0,2,1,9,3
60,4,2,8,9,4,0,8,4,9,2
61,4,2,5,9,2,1,3,4,9,9
62,2,3,1,9,1,1,5,1,9,6
63,2,7,8,9,3,1,9,5,9,4
64,2,9,6,8,4,1,8,1,8,1
65,2,8,6,8,3,0,6,3,9,9
66,0,2,9,9,3,1,7,8,9,2
67,3,8,9,9,5,0,9,4,9,2
68,2,6,8,9,3,1,5,4,9,0
69,0,7,7,9,9,1,2,3,9,2
70,2,4,9,9,8,0,3,3,9,6
71,4,5,3,9,9,0,2,3,9,8
72,3,5,5,9,5,0,5,4,9,9
73,0,2,9,9,1,0,3,4,9,4
74,2,3,8,9,8,0,9,4,9,1
75,0,1,8,8,8,1,7,5,9,2
76,3,5,5,9,8,0,2,5,9,4
77,3,1,9,9,8,1,4,4,8,2
78,0,7,9,8,5,0,4,2,8,2
79,1,4,1,9,4,1,7,4,8,1
80,0,5,8,9,7,1,4,2,9,4
81,3,4,9,8,5,1,7,4,9,3
82,3,2,8,9,5,1,5,4,9,0
83,0,7,6,9,6,0,7,8,8,3
84,2,3,8,9,7,1,5,8,8,7
85,4,9,9,9,2,0,7,3,9,0
86,4,6,8,9,2,0,2,4,8,4
87,1,9,9,9,9,0,2,2,9,2
88,3,5,9,9,9,1,8,2,9,8
89,3,2,3,9,1,1,3,4,9,1
90,1,2,9,9,6,1,8,5,9,8
91,0,4,7,9,1,1,2,4,9,2
92,1,8,6,9,8,0,7,8,9,6
93,2,1,7,9,1,1,5,4,9,8
94,0,2,5,9,4,0,8,2,9,5
95,3,4,2,9,2,1,3,5,9,2
96,0,3,1,9,8,0,7,1,9,2
97,3,8,8,9,3,1,8,5,9,5
98,0,1,8,9,5,0,5,4,9,2
99,2,4,5,9,2,0,3,4,9,2
100,2,3,8,9,3,1,5,3,9,8
101,3,9,8,9,6,1,5,3,9,2
102,2,6,3,8,8,0,7,4,9,3
103,3,9,9,9,9,1,6,4,9,2
104,2,5,2,9,8,1,7,5,9,0
105,4,5,5,9,3,0,4,4,9,4
106,2,5,6,9,4,1,7,8,9,1
107,0,7,9,9,1,1,5,4,9,4
108,4,4,8,8,0,0,4,4,9,3
109,4,9,9,9,5,1,6,3,9,2
110,1,1,8,9,8,1,7,5,9,2
111,3,1,8,9,6,1,4,1,9,4
112,4,7,7,9,6,0,9,5,9,6
113,0,9,8,9,2,1,5,4,9,2
114,0,6,9,9,8,0,5,2,9,2
115,4,7,9,9,4,0,4,1,8,6
116,0,3,8,9,5,0,2,5,9,9
117,1,9,9,9,5,1,9,3,8,4
118,0,3,2,8,2,0,2,1,8,1
119,3,3,8,9,1,0,5,4,9,2
120,3,7,9,8,6,0,4,4,9,5
121,0,3,8,9,0,0,6,5,9,2
122,3,1,3,9,4,0,3,5,8,2
123,2,4,9,9,3,0,2,4,9,2
124,4,3,8,9,1,0,6,4,9,4
125,3,5,6,9,7,0,7,4,9,5
126,1,6,6,9,3,0,4,4,9,8
127,1,6,8,9,3,1,3,3,9,2
128,3,6,5,9,9,1,7,1,9,1
129,1,9,1,9,7,1,2,2,9,2
130,0,7,8,9,2,1,7,4,9,1
131,0,1,5,9,6,0,5,4,9,2
132,4,6,9,9,3,1,5,4,8,5
133,0,6,9,9,9,0,2,4,9,0
134,4,2,9,9,6,1,5,4,9,4
135,0,9,1,9,6,0,4,8,9,2
136,1,5,3,9,1,0,5,4,9,2
137,3,6,8,9,0,0,5,5,9,2
138,4,5,5,8,5,0,3,4,9,5
139,1,2,8,8,3,0,3,4,8,2
140,2,9,8,9,2,0,9,2,9,2
141,3,6,8,9,7,1,5,3,9,9
142,0,9,3,9,1,0,3,4,9,4
143,3,1,6,9,3,1,6,4,9,2
144,4,3,3,9,4,0,2,4,9,1
145,3,6,9,9,7,1,8,3,9,2
146,0,4,9,9,4,1,9,4,8,0
147,0,4,7,9,2,1,5,4,8,3
148,0,9,3,8,4,1,4,1,9,8
149,1,5,3,9,8,1,7,1,9,2
150,2,5,9,8,0,0,4,4,9,5
151,1,3,8,9,5,0,7,4,8,1
152,3,3,7,9,5,1,4,2,9,8
153,0,6,5,9,6,1,9,4,8,2
154,3,4,8,9,2,0,4,4,9,0
155,3,9,5,9,8,0,3,1,9,2
156,2,5,9,9,2,0,2,3,8,6
157,0,2,3,9,5,1,8,4,8,9
158,4,7,8,9,1,0,4,3,9,1
159,4,3,5,8,9,1,8,2,9,2
160,4,1,9,9,5,0,6,5,8,2
161,3,9,8,8,6,0,8,4,9,4
162,0,6,8,9,5,1,9,4,9,9
163,1,2,9,9,7,0,7,4,9,2
164,3,6,8,9,2,0,4,4,9,2
165,3,3,6,9,6,1,5,4,8,1
166,3,2,8,9,4,1,8,4,9,3
167,2,3,9,9,8,1,2,1,8,2
168,0,2,1,9,6,1,2,4,9,0
169,0,6,9,8,9,0,9,8,9,9
170,2,7,8,9,4,0,8,4,9,2
171,1,8,6,8,8,1,7,4,9,1
172,3,5,8,9,2,1,7,3,9,4
173,1,1,9,9,7,1,9,4,9,8
174,2,9,8,9,6,1,2,1,8,4
175,0,3,5,9,4,0,3,2,9,2
176,4,9,8,9,6,0,9,8,9,1
177,4,1,8,9,9,1,4,2,8,2
178,3,8,3,8,6,0,4,4,9,2
179,0,5,8,9,7,0,8,5,9,7
180,0,3,9,9,2,1,8,8,9,1
181,1,6,9,8,8,0,6,3,9,4
182,1,5,5,8,7,1,8,4,8,7
183,2,8,8,9,7,1,6,4,9,0
184,4,6,8,8,7,0,6,4,9,9
185,1,2,8,9,6,0,7,8,9,1
186,4,4,1,8,5,1,7,4,8,8
187,3,6,5,9,1,0,2,4,9,9
188,3,9,5,9,7,0,4,8,9,8
189,2,5,9,9,1,1,2,2,8,1
190,3,5,6,8,7,0,4,5,9,6
191,4,2,1,8,6,1,3,4,9,9
192,0,6,8,9,4,0,3,4,9,5
193,0,1,8,9,4,0,2,1,9,3
194,2,9,3,9,3,1,5,4,9,5
195,1,8,8,9,5,0,8,1,9,0
196,1,3,8,9,7,1,3,2,9,2
197,0,8,8,9,8,0,3,4,9,2
198,3,2,3,8,4,0,9,1,9,3
199,0,8,8,8,0,0,6,1,9,0
200,3,3,8,9,5,1,7,4,8,0
201,2,3,6,9,3,0,4,2,9,7
202,1,9,6,9,9,1,5,3,8,1
203,0,4,6,9,4,0,9,4,9,9
204,3,1,8,8,7,1,4,1,9,2
205,1,9,7,9,3,0,6,4,9,8
206,4,5,6,9,6,0,7,4,9,1
207,3,4,8,8,3,0,9,3,9,4
208,1,9,2,8,8,1,9,3,8,2
209,4,6,8,9,7,1,2,3,9,4
210,2,8,5,9,2,0,2,4,9,7
211,1,7,8,9,5,1,9,4,9,9
212,0,1,9,9,4,0,9,8,9,6
213,2,4,6,9,0,1,7,8,8,2
214,2,8,7,9,7,0,3,2,9,2
215,1,8,3,9,2,1,7,4,9,5
216,4,7,9,8,8,0,4,3,9,7
217,4,6,5,9,5,1,5,8,9,5
218,4,2,9,9,9,0,3,4,9,2
219,3,8,8,8,3,1,5,5,9,2
220,3,8,7,9,9,1,7,1,8,4
221,3,4,8,9,4,0,9,3,9,6
222,1,5,1,9,5,1,6,5,9,3
223,1,9,9,9,6,0,9,1,8,5
224,3,1,9,9,7,0,4,1,9,9
225,1,9,8,9,9,1,2,2,9,0
226,1,1,2,9,9,0,4,4,9,2
227,0,9,6,9,8,1,8,3,9,2
228,4,2,3,8,9,0,7,4,9,2
229,1,5,3,9,7,1,2,2,8,5
230,1,7,8,9,9,0,6,2,9,5
231,3,9,9,9,7,1,7,4,9,4
232,1,8,8,9,6,0,8,4,9,7
233,1,3,6,9,8,1,5,3,9,6
234,1,9,2,9,2,1,3,4,9,8
235,1,7,5,8,9,0,4,2,8,4
236,0,3,8,9,5,1,3,1,9,8
237,3,6,3,9,3,1,2,4,9,3
238,3,2,8,9,9,0,9,1,9,8
239,0,6,1,9,5,1,3,8,9,2
240,0,1,2,9,4,0,5,4,9,4
241,0,7,8,9,8,0,5,4,9,6
242,1,8,7,9,5,0,9,1,9,3
243,0,6,8,9,9,0,4,8,9,2
244,3,9,8,9,6,0,4,3,9,2
245,0,2,1,9,4,0,6,1,8,1
246,0,6,1,8,2,0,7,3,9,2
247,3,7,3,9,3,1,6,8,9,7
248,4,4,8,9,9,0,9,1,9,7
249,1,8,6,9,0,0,6,1,9,8
250,4,8,2,8,4,1,7,4,9,7
251,4,6,8,9,2,1,8,4,8,5
252,3,1,6,8,4,1,3,4,9,6
253,0,5,9,9,0,1,8,3,8,3
254,2,8,7,9,7,0,7,2,8,3
255,4,7,8,8,4,0,4,2,9,2
256,4,6,9,9,7,0,5,4,9,1
257,3,7,5,8,1,0,2,2,9,4
258,2,4,8,9,8,0,2,4,8,5
259,4,1,8,9,9,0,7,4,8,2
260,0,2,3,9,2,0,8,8,9,2
261,3,2,7,9,3,0,9,1,9,2
262,3,9,8,9,6,0,5,3,9,2
263,4,5,8,9,4,1,9,8,9,0
264,2,1,9,8,3,1,8,8,9,4
265,0,4,8,9,9,1,7,4,9,0
266,3,7,8,8,2,0,6,4,9,0
267,0,7,8,9,3,1,4,8,9,4
268,3,1,8,8,3,1,2,4,9,1
269,4,8,7,9,1,0,4,2,9,6
270,0,3,9,9,9,1,6,4,8,2
271,2,8,8,8,8,0,9,4,9,1
272,4,1,3,9,4,1,2,5,9,2
273,4,7,5,9,8,0,3,8,8,2
274,2,2,3,9,2,1,6,5,9,1
275,4,1,9,9,6,0,9,3,9,3
276,4,5,3,9,6,0,7,4,9,9
277,4,1,2,9,4,1,8,5,9,2
278,1,2,8,8,3,0,9,1,9,0
279,4,2,8,9,4,1,9,3,9,6
280,0,9,8,9,8,1,2,4,9,9
281,2,9,3,8,6,0,3,4,9,2
282,0,8,8,9,7,1,9,4,9,9
283,0,2,2,8,9,0,5,8,9,1
284,3,8,5,9,9,0,4,1,9,8
285,4,8,8,9,8,1,8,5,9,2
286,2,6,2,8,5,1,5,4,9,9
287,2,2,9,9,4,0,2,2,9,0
288,0,2,9,9,7,0,9,4,9,1
289,3,9,8,9,7,0,7,1,9,2
290,1,2,1,9,8,0,8,5,9,7
291,0,2,1,9,9,0,5,3,9,2
292,4,9,7,9,3,0,4,2,9,2
293,2,2,1,9,4,1,4,5,8,0
294,4,5,7,9,4,1,7,2,9,7
295,4,3,9,9,9,0,9,4,9,8
296,3,2,8,9,8,1,9,4,9,2
297,1,8,5,9,1,1,3,1,9,2
298,1,8,2,9,8,1,5,4,9,5
299,3,5,3,8,5,0,7,1,9,7
300,1,5,8,9,7,1,6,4,9,8
301,4,4,9,9,9,0,4,2,8,4
302,1,9,9,9,8,1,7,2,8,2
303,3,1,8,9,6,1,3,8,9,1
304,1,9,3,8,2,1,2,3,9,7
305,0,2,9,9,1,0,7,4,9,0
306,0,9,8,9,3,0,4,8,8,1
307,3,8,7,9,4,0,5,4,9,2
308,4,3,9,9,6,0,7,2,9,0
309,0,9,6,9,6,0,7,4,9,0
310,2,3,8,9,1,1,5,8,9,7
311,0,4,5,9,1,1,8,4,8,0
312,4,1,6,8,3,1,2,2,9,2
313,4,5,7,9,3,0,9,8,9,1
314,2,6,8,9,6,0,3,4,9,1
315,2,8,8,9,2,0,6,1,9,0
316,0,6,6,9,5,0,3,4,9,2
317,4,8,5,9,6,1,5,8,9,0
318,1,6,9,9,6,0,4,5,9,9
319,2,1,9,9,1,0,6,4,9,3
320,0,3,2,9,8,0,4,4,9,0
321,0,8,8,9,1,0,3,4,9,9
322,2,6,8,9,1,0,9,4,9,4
323,4,4,8,8,3,0,2,2,9,2
324,4,8,8,9,5,1,3,8,9,3
325,3,7,3,9,8,1,7,4,9,4
326,4,1,2,8,6,0,9,4,9,1
327,1,6,9,9,8,1,5,2,9,5
328,3,1,7,8,6,0,2,2,9,2
329,0,1,8,9,7,1,7,5,9,2
330,3,1,9,9,1,1,9,2,9,1
331,1,3,9,9,9,0,9,2,8,6
332,0,2,7,9,8,1,5,4,9,7
333,2,1,2,9,8,0,3,5,9,2
334,1,9,2,9,6,0,3,4,9,5
335,0,7,8,9,4,1,5,2,9,1
336,3,4,9,9,3,0,9,4,8,5
337,2,1,8,9,0,1,4,4,9,8
338,0,7,8,9,8,0,6,3,8,4
339,2,5,5,9,2,0,4,3,8,8
340,1,8,8,9,1,1,2,8,9,4
341,4,8,2,9,6,0,7,2,9,2
342,3,7,8,9,8,1,6,4,9,0
343,3,5,9,8,3,0,5,4,8,9
344,1,1,8,9,6,0,8,3,9,0
345,1,4,8,9,8,0,2,4,9,2
346,0,9,7,8,4,1,3,5,8,2
347,0,1,8,9,9,0,7,5,9,4
348,2,6,9,9,1,0,9,4,9,9
349,4,1,8,9,6,0,5,4,9,2
350,2,7,6,9,3,0,2,8,9,2
351,1,5,2,9,6,0,3,3,9,3
352,1,3,6,9,8,1,8,4,9,4
353,1,3,9,9,7,1,8,8,9,6
354,3,9,1,9,3,1,6,3,9,1
355,3,2,1,9,6,0,3,4,8,0
356,1,1,7,9,4,0,5,4,9,6
357,3,6,7,9,9,0,2,2,8,2
358,4,1,6,9,8,1,3,4,9,2
359,0,3,8,9,9,0,2,5,9,3
360,2,9,8,9,8,0,3,3,8,7
361,0,7,9,9,5,1,9,5,9,5
362,1,1,8,9,9,1,8,2,8,2
363,0,7,8,9,8,1,2,8,8,2
364,0,8,1,8,0,0,3,4,8,7
365,0,9,8,9,2,0,6,1,9,7
366,2,4,8,9,2,1,2,3,9,2
367,2,5,8,9,8,0,7,4,9,6
368,2,3,8,9,9,0,9,4,9,8
369,0,2,2,9,6,1,7,2,9,0
370,0,7,8,8,7,0,7,1,9,2
371,3,1,3,9,3,0,8,4,9,6
372,1,1,9,8,9,0,5,1,9,5
373,3,2,9,8,0,0,9,8,9,1
374,3,3,8,9,2,1,8,4,9,2
375,3,7,2,9,9,0,8,8,9,0
376,0,4,8,9,2,0,5,2,9,5
377,1,9,7,9,4,0,6,4,9,7
378,2,5,8,9,1,0,2,4,9,2
379,3,1,6,8,4,0,4,1,9,5
380,3,1,6,9,4,0,7,4,9,0
381,4,3,9,9,1,1,6,3,9,3
382,2,3,8,9,9,1,6,3,9,2
383,1,1,1,9,6,1,6,1,9,2
384,1,1,6,9,7,0,6,2,9,3
385,4,2,9,9,8,0,3,8,9,2
386,0,9,6,8,5,0,4,4,9,9
387,1,7,9,9,9,1,6,4,9,3
388,1,9,7,8,3,0,4,4,9,2
389,3,8,9,9,6,1,3,5,9,3
390,4,9,6,8,8,0,7,2,9,5
391,4,6,5,9,2,1,4,4,9,2
392,0,2,9,9,3,0,2,1,8,2
393,2,4,9,9,4,1,9,4,9,2
394,3,2,5,9,4,1,5,4,9,8
395,2,5,9,9,7,1,2,5,9,8
396,1,3,8,9,9,1,3,5,9,4
397,3,9,7,8,1,1,4,4,9,8
398,1,6,6,9,9,0,7,4,9,1
399,4,1,9,9,8,0,5,4,8,7
400,4,2,8,9,7,0,2,8,9,2
401,3,6,2,9,8,0,3,4,9,7
402,1,8,1,8,0,1,7,5,8,3
403,1,1,7,9,4,1,2,5,8,2
404,1,3,6,9,9,0,5,1,9,5
405,4,4,8,9,7,1,3,4,8,9
406,1,9,8,9,1,0,8,4,9,1
407,1,3,2,8,3,0,5,5,9,5
408,0,3,2,9,4,1,3,1,9,2
409,4,3,8,9,4,1,2,4,9,0
410,4,6,9,8,1,1,9,8,9,2
411,2,2,9,9,1,0,9,4,9,8
412,0,3,8,8,3,1,3,8,9,7
413,2,1,9,9,1,1,6,4,9,7
414,1,2,9,9,0,0,3,8,8,6
415,4,9,1,9,7,1,2,5,9,2
416,4,2,8,9,5,1,9,5,9,2
417,2,6,8,9,7,0,7,2,9,2
418,2,3,9,9,4,0,4,4,9,8
419,2,4,6,9,6,1,8,1,9,1
420,4,2,8,9,6,0,4,2,9,4
421,1,9,8,9,7,0,4,4,9,4
422,1,5,2,9,4,1,5,2,8,5
423,2,7,5,9,1,1,2,4,9,4
424,4,9,9,9,2,0,5,3,9,6
425,2,1,9,9,6,1,9,2,9,2
426,0,8,1,9,2,0,9,4,9,7
427,2,5,9,9,9,1,8,4,9,9
428,4,3,8,8,9,1,7,8,9,2
429,3,4,7,9,0,0,3,4,9,1
430,3,8,8,8,7,0,7,2,8,0
431,0,7,8,8,8,0,2,4,9,0
432,0,4,8,9,6,1,9,4,9,5
433,3,5,9,9,5,1,5,8,9,9
434,4,9,8,9,4,0,9,4,8,4
435,3,5,7,9,6,1,3,4,9,0
436,4,4,8,9,7,1,7,4,9,2
437,4,4,8,8,8,0,4,8,8,7
438,1,2,9,9,7,1,9,2,9,8
439,2,3,9,9,4,0,4,2,8,9
440,0,1,9,9,2,0,5,1,9,2
441,0,8,5,9,4,0,7,4,9,8
442,3,1,3,9,5,1,5,5,9,1
443,4,9,3,8,5,0,3,3,9,2
444,1,8,2,9,9,0,2,4,9,9
445,1,2,9,9,4,1,8,3,9,7
446,1,5,5,8,9,0,2,5,9,1
447,3,2,9,9,1,1,9,4,8,8
448,1,5,8,9,3,1,9,4,9,2
449,3,4,9,9,1,0,4,4,9,8
450,0,4,9,9,1,0,2,4,9,8
451,2,8,8,9,2,0,7,3,9,8
452,4,1,8,9,2,1,7,4,9,2
453,0,1,3,9,3,0,6,4,9,2
454,2,6,8,9,3,1,8,5,9,5
455,3,5,8,9,4,1,2,5,9,2
456,3,2,7,9,5,0,5,4,9,2
457,3,4,9,9,4,1,8,4,9,4
458,0,3,5,9,2,0,2,4,9,0
459,4,1,9,9,5,1,5,4,9,5
460,0,3,9,9,3,0,9,8,9,4
461,0,7,9,9,4,0,8,1,9,2
462,0,1,8,9,1,0,9,4,9,0
463,4,1,8,9,3,0,8,1,9,6
464,4,9,9,9,7,0,2,4,9,8
465,1,6,5,9,5,0,3,2,9,0
466,3,2,8,9,5,0,3,4,9,8
467,1,6,8,9,4,1,9,3,9,6
468,0,8,8,9,5,1,5,4,9,1
469,1,1,5,9,7,0,8,4,9,8
470,2,4,9,9,6,0,2,4,8,6
471,2,7,8,9,8,0,9,4,9,2
472,3,4,7,9,1,1,7,3,9,5
473,0,2,9,9,8,1,5,1,9,8
474,4,6,2,9,2,1,2,4,9,2
475,2,1,8,9,9,1,4,2,9,9
476,2,3,8,9,1,0,6,4,9,2
477,3,9,9,9,4,0,3,1,9,2
478,1,5,8,8,9,1,8,4,9,2
479,0,8,1,9,5,1,3,2,9,7
480,0,4,9,9,8,0,5,4,9,9
481,3,6,7,8,3,1,7,4,9,8
482,0,6,8,9,1,0,6,4,8,9
483,1,1,3,8,2,1,7,8,9,7
484,1,8,9,9,4,0,7,4,9,2
485,4,6,8,8,4,1,7,4,9,3
486,2,3,9,9,3,0,6,2,9,6
487,0,7,5,9,7,1,3,2,9,2
488,0,2,8,9,6,1,3,3,8,4
489,0,4,9,9,4,1,7,8,9,2
490,0,5,8,9,5,0,7,4,9,6
491,2,2,8,8,5,0,2,8,9,2
492,0,7,6,8,8,0,6,4,9,2
493,4,5,9,9,5,0,5,5,9,2
494,2,1,8,9,2,0,8,4,9,2
495,1,7,7,9,5,1,2,8,9,2
496,3,8,2,9,8,1,9,4,9,5
497,4,5,1,9,6,0,3,4,9,0
498,1,3,1,9,5,0,6,4,9,1
499,3,8,8,8,4,1,9,8,9,6
500,2,8,9,9,6,0,4,5,9,2
501,4,3,8,8,2,1,5,4,8,1
502,4,7,2,9,5,1,6,4,9,2
503,3,3,8,9,7,1,8,4,9,4
504,3,9,1,8,6,1,3,4,9,7
505,4,1,8,9,4,0,2,2,9,7
506,4,2,8,9,5,0,2,4,9,6
507,4,7,9,9,0,0,3,4,8,0
508,1,2,8,9,6,0,7,3,9,4
509,2,5,8,9,8,1,6,5,9,7
510,0,1,8,9,4,1,2,1,9,5
511,2,8,2,9,3,0,3,2,9,2
512,0,5,6,9,9,1,2,5,9,2
513,2,6,8,9,2,1,4,8,9,1
514,2,6,8,9,9,0,7,4,9,9
515,2,5,8,9,2,0,4,4,8,1
516,1,6,8,9,2,0,6,3,9,2
517,0,3,8,9,9,1,2,5,9,3
518,1,2,8,9,6,0,4,3,9,4
519,3,7,9,9,4,1,5,2,9,1
520,0,9,8,9,9,1,6,4,9,7
521,1,1,1,9,9,0,9,4,9,7
522,0,1,9,9,3,0,6,5,9,2
523,2,1,8,9,3,1,8,4,9,1
524,1,7,1,8,6,0,7,4,9,5
525,1,8,8,9,8,1,4,2,9,1
526,4,2,8,9,8,1,7,8,9,1
527,4,1,5,8,8,1,3,5,9,1
528,1,2,9,9,5,1,5,4,8,2
529,1,6,1,9,8,0,7,3,9,9
530,0,2,8,8,1,0,4,2,8,4
531,0,3,7,9,7,1,9,5,9,5
532,3,7,8,9,2,1,6,4,9,9
533,2,8,7,8,8,0,4,2,9,6
534,3,6,8,9,7,0,2,3,9,2
535,1,9,8,9,5,0,9,4,8,6
536,0,7,5,8,4,0,9,1,9,7
537,3,7,5,9,3,0,4,4,9,8
538,1,7,9,9,4,1,4,2,9,2
539,2,6,7,9,3,1,6,4,9,0
540,1,5,9,8,2,0,5,3,8,0
541,1,3,6,9,9,0,4,1,8,3
542,2,2,8,9,4,1,8,4,8,3
543,3,4,8,9,8,0,3,1,9,7
544,2,3,1,9,4,1,6,8,9,9
545,1,1,6,9,2,0,7,5,9,5
546,1,7,8,9,1,0,6,4,8,5
547,4,2,8,9,3,1,8,4,9,3
548,2,7,3,9,6,1,4,3,9,2
549,3,6,2,9,8,1,6,4,9,7
550,2,1,7,9,8,0,9,4,8,7
551,4,1,8,8,2,0,4,2,9,1
552,0,4,9,9,9,0,8,4,9,0
553,4,6,9,8,5,1,5,4,9,1
554,1,4,6,9,4,1,4,3,8,8
555,1,8,2,9,5,1,9,3,9,2
556,0,9,8,9,8,1,2,4,9,5
557,1,9,7,8,1,0,4,1,9,5
558,2,8,8,9,2,1,9,1,9,2
559,0,8,2,9,9,0,2,4,9,4
560,2,7,1,8,4,1,7,1,9,7
561,3,1,8,9,8,1,2,4,9,7
562,0,6,8,9,9,0,4,4,8,2
563,3,7,7,8,2,0,2,4,9,2
564,1,1,6,8,4,0,2,3,9,6
565,4,5,8,9,1,1,2,4,9,2
566,2,6,5,9,6,0,7,4,9,2
567,1,6,3,9,7,1,2,4,9,0
568,3,9,8,9,7,0,4,4,9,2
569,0,1,6,9,7,0,2,4,9,5
570,2,4,3,9,9,0,3,1,8,7
571,4,7,8,8,3,0,9,1,9,8
572,1,2,9,9,7,1,9,4,9,9
573,4,7,9,9,6,0,3,8,9,4
574,0,8,6,8,4,0,4,4,9,0
575,4,6,1,9,0,1,3,4,9,4
576,3,1,8,9,4,0,2,4,9,2
577,1,3,2,9,1,1,4,4,9,7
578,2,4,9,9,6,1,4,8,9,0
579,4,6,8,9,8,1,8,4,9,0
580,4,9,8,9,7,1,8,1,9,4
581,3,5,9,9,4,0,6,1,9,6
582,0,7,8,9,5,1,4,4,9,5
583,1,3,8,8,4,1,7,5,9,3
584,4,4,2,9,8,1,9,4,9,8
585,0,4,6,9,9,1,2,1,8,2
586,0,9,1,9,4,0,3,1,9,0
587,2,9,8,9,2,0,2,2,9,9
588,4,1,9,9,4,0,8,8,9,2
589,1,1,7,9,9,1,6,4,9,1
590,0,6,3,9,5,1,3,4,9,2
591,1,1,5,8,4,1,5,3,9,3
592,3,9,8,9,2,0,9,2,9,6
593,1,5,8,9,2,0,6,4,9,4
594,1,1,8,9,3,0,3,4,9,1
595,2,1,7,9,7,0,7,4,9,9
596,2,2,9,9,3,1,9,8,9,7
597,0,5,9,9,2,0,3,1,9,7
598,3,5,7,9,0,0,6,2,8,1
599,2,5,8,9,5,1,3,1,9,6
600,0,2,8,9,7,0,5,3,9,8
601,0,6,9,9,4,1,7,1,9,7
602,2,3,8,9,2,1,4,4,9,2
603,0,6,6,8,5,0,2,4,9,2
604,4,4,5,9,8,0,3,8,9,5
605,2,7,3,9,4,0,3,4,9,3
606,4,7,7,9,1,1,8,8,9,7
607,0,3,9,8,3,0,5,1,9,5
608,3,2,3,9,4,1,8,1,9,1
609,0,6,8,8,6,0,2,3,9,2
610,4,5,9,9,3,1,7,4,9,5
611,1,3,8,9,5,0,4,4,9,9
612,0,2,7,9,1,0,6,4,9,9
613,0,6,8,9,9,1,6,4,9,2
614,1,6,9,9,2,1,9,4,9,0
615,3,4,2,9,1,0,8,5,8,2
616,1,3,9,9,2,0,8,4,9,3
617,3,5,9,9,8,1,7,2,8,4
618,1,5,9,8,7,0,4,4,9,3
619,1,3,5,9,9,1,9,3,8,2
620,2,7,8,8,1,1,4,4,9,6
621,2,1,1,8,7,1,6,4,9,4
622,2,6,8,9,3,0,6,4,9,8
623,3,3,9,8,6,0,5,5,9,9
624,1,2,8,9,4,0,8,8,9,6
625,0,2,7,8,9,1,7,3,9,5
626,1,9,9,9,1,0,5,4,9,2
627,2,5,2,9,8,0,3,2,9,8
628,2,4,3,9,2,1,8,4,8,3
